applicant_id,applicant_city,posid,year,aptdummy,female,black,juddummy,instatel,pubpvt,millerd,barnesd,perdued,deald,confirmed_atty_donor,political_donor,experience,sq_exp,gov_timely_donor,gov_nom_ideo_distance,n_times_applied_4_judgeships,number_applicants,median_lsat,gov_donor_amount,imputed_gov_nom_ideo_distance,bivariate_posid_missing,graph_aptdummy,model2_listwise,graph_aptdummym2,model3_listwise,graph_aptdummym3
2370,temple,10016,1994,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,22,484,0,.0088279461,2,20,165,0,.0088279461,,0,,0,,0
214,homerville,10016,1994,0,0,0,1,1,1,1,0,0,0,,0,34,1156,0,,3,20,150,0,.076495402,,,,,,0
1652,winder,10016,1994,0,0,0,1,1,0,1,0,0,0,,0,37,1369,0,,2,20,165,0,.63416827,,,,,,0
2375,atlanta,10016,1994,0,0,1,1,0,1,1,0,0,0,,0,21,441,0,,2,20,165,0,.27350399,,,,,,0
1929,brunswick,10016,1994,0,0,0,0,1,0,1,0,0,0,,0,32,1024,0,,1,20,165,0,.40545547,,,,,,0
1816,atlanta,10016,1994,0,1,0,0,1,1,1,0,0,0,confirmed attorney,1,21,441,0,.73621774,1,20,165,0,.73621774,,0,,0,,0
1799,marietta,10016,1994,0,0,0,1,1,1,1,0,0,0,,0,30,900,0,,4,20,165,0,.074481376,,,,,,0
2291,athens,10016,1994,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,14,196,0,.28310356,2,20,165,0,.28310356,,0,,0,,0
2381,milledgeville,10016,1994,1,0,0,1,1,1,1,0,0,0,unknown career,1,25,625,0,.63258314,2,20,155,0,.63258314,,.22499999,,.2,,.2
734,fayetteville,10016,1994,0,0,0,1,1,0,1,0,0,0,,0,23,529,0,,2,20,165,0,.47755319,,,,,,0
2115,decatur,10016,1994,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,25,625,0,.60897768,7,20,165,0,.60897768,,0,,0,,0
1257,atlanta,10017,1995,0,0,0,1,0,1,1,0,0,0,,0,23,529,0,,6,20,169,0,.27350399,1,,1,,,0
1493,marietta,10017,1995,0,0,0,0,1,1,1,0,0,0,confirmed attorney,1,21,441,0,.10592631,4,20,155,0,.10592631,1,,1,,,0
1480,atlanta,10017,1995,0,1,0,1,1,1,1,0,0,0,confirmed attorney,1,21,441,0,.90638012,5,20,165,0,.90638012,1,,1,,,0
1421,savannah,10017,1995,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,25,625,0,.0036397954,14,20,165,0,.0036397954,1,,1,,,0
1816,decatur,10017,1995,0,1,0,0,1,1,1,0,0,0,confirmed attorney,1,22,484,0,.73621774,2,20,165,0,.73621774,1,,1,,,0
1652,winder,10017,1995,0,0,0,1,1,0,1,0,0,0,,0,38,1444,0,,3,20,165,0,.63416827,1,,1,,,0
2389,atlanta,10017,1995,0,0,0,0,0,1,1,0,0,0,,0,20,400,0,,1,20,173,0,.27350399,1,,1,,,0
719,atlanta,10017,1995,0,0,0,1,0,1,1,0,0,0,,0,31,961,0,,7,20,169,0,.27350399,1,,1,,,0
2352,columbus,10017,1995,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,18,324,0,,1,20,165,0,.19143558,1,,1,,,0
746,atlanta,10017,1995,0,0,0,0,0,0,1,0,0,0,confirmed attorney,1,35,1225,0,.58722144,12,20,170,0,.58722144,1,,1,,,0
1795,waycross,10017,1995,0,0,0,1,1,1,1,0,0,0,,0,26,676,0,,2,20,155,0,.52567345,1,,1,,,0
526,bainbridge,10017,1995,0,1,0,0,1,1,1,0,0,0,,0,10,100,0,,1,20,155,0,.50705355,1,,1,,,0
840,decatur,10017,1995,0,0,0,1,1,1,1,0,0,0,,0,32,1024,0,,5,20,165,0,.67528963,1,,1,,,0
688,lincolnton,10017,1995,0,0,0,0,0,0,1,0,0,0,,0,23,529,0,,2,20,154,0,.10654894,1,,1,,,0
1451,atlanta,10017,1995,0,0,0,0,1,1,1,0,0,0,confirmed attorney,1,41,1681,0,.47042429,4,20,165,0,.47042429,1,,1,,,0
411,decatur,10017,1995,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,31,961,0,.24780661,4,20,165,0,.24780661,1,,1,,,0
2115,decatur,10017,1995,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,26,676,0,.60897768,8,20,165,0,.60897768,1,,1,,,0
1109,marietta,10017,1995,1,0,0,1,1,1,1,0,0,0,,0,28,784,0,,8,20,165,0,.074481376,1,,1,,,.2
865,cumming,10017,1995,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,25,625,0,.124196,4,20,165,0,.124196,1,,1,,,0
2287,gainesville,10017,1995,0,0,0,0,0,1,1,0,0,0,confirmed attorney,1,28,784,0,.42243746,1,20,161,0,.42243746,1,,1,,,0
242,clarkesville,10018,2005,0,0,0,1,1,0,0,0,1,0,,0,32,1024,0,,6,17,165,0,.17437094,1,,1,,,0
200,atlanta,10018,2005,0,0,0,1,1,1,0,0,1,0,,0,34,1156,0,,2,17,150,0,1.1150932,1,,1,,,0
734,fayetteville,10018,2005,0,0,0,1,1,0,0,0,1,0,,0,34,1156,0,,3,17,165,0,.36403608,1,,1,,,0
1985,lawrenceville,10018,2005,0,0,0,1,1,0,0,0,1,0,confirmed attorney,1,16,256,0,.25509512,3,17,165,0,.25509512,1,,1,,,0
1779,conyers,10018,2005,0,0,0,1,1,0,0,0,1,0,,0,36,1296,0,,1,17,165,0,.66420388,1,,1,,,0
2171,savannah,10018,2005,0,0,0,0,1,0,0,0,1,0,,0,22,484,0,,2,17,165,0,1.0381434,1,,1,,,0
674,madison,10018,2005,0,0,0,0,0,0,0,0,1,0,,0,32,1024,0,,8,17,170,0,.83260244,1,,1,,,0
160,decatur,10018,2005,0,1,0,1,1,0,0,0,1,0,,0,19,361,0,,1,17,160,0,1.516879,1,,1,,,0
1833,atlanta,10018,2005,0,0,0,0,1,1,0,0,1,0,,0,35,1225,0,,1,17,165,0,1.1150932,1,,1,,,0
1680,atlanta,10018,2005,0,0,0,1,1,0,0,0,1,0,confirmed attorney,1,30,900,0,.65663791,6,17,165,0,.65663791,1,,1,,,0
2214,gainesville,10018,2005,0,0,0,1,1,0,0,0,1,0,confirmed attorney,1,34,1156,0,.56709385,6,17,165,0,.56709385,1,,1,,,0
1663,atlanta,10018,2005,1,1,1,0,1,0,0,0,1,0,,0,15,225,0,,1,17,165,0,1.1150932,1,,1,,,.2
636,augusta,10018,2005,0,0,0,1,0,0,0,0,1,0,confirmed attorney,1,31,961,0,.85621351,2,17,158,0,.85621351,1,,1,,,0
824,statesboro,10018,2005,0,0,0,0,1,0,0,0,1,0,confirmed attorney,1,43,1849,0,.013502479,1,17,165,0,.013502479,1,,1,,,0
1522,stone mountain,10018,2005,0,1,1,1,0,1,0,0,1,0,unknown career,1,23,529,0,1.2507925,8,17,159,0,1.2507925,1,,1,,,0
672,atlanta,10018,2005,0,0,0,0,0,0,0,0,1,0,confirmed attorney,1,34,1156,0,.95013052,1,17,163,0,.95013052,1,,1,,,0
2579,brunswick,10018,2005,0,1,0,1,1,1,0,0,1,0,,0,29,841,0,,3,17,150,0,.4361338,1,,1,,,0
1827,dallas,10019,2009,0,0,0,1,1,0,0,0,1,0,confirmed attorney,1,33,1089,0,.044282377,4,38,165,0,.044282377,,0,,0,,0
